movie,rt_critic,rt_audience
The Shawshank Redemption,91,98
The Dark Knight,94,94
Inception,87,91
Fight Club,79,96
Pulp Fiction,92,96
Forrest Gump,71,95
The Matrix,88,85
The Lord of the Rings: The Fellowship of the Ring,91,95
The Lord of the Rings: The Return of the King,93,86
Interstellar,72,86
The Dark Knight Rises,87,90
The Lord of the Rings: The Two Towers,95,95
Seven,83,95
Django Unchained,87,91
Gladiator,77,87
Batman Begins,84,94
The Silence of the Lambs,96,95
Inglourious Basterds,89,88
The Avengers,91,91
Saving Private Ryan,93,95
Schindler's List,97,97
The Wolf of Wall Street,79,83
The Prestige,76,92
The Departed,90,94
The Green Mile,78,94
Shutter Island,68,76
Memento,93,94
Avatar,82,82
American Beauty,87,93
Titanic,89,69
Guardians of the Galaxy,92,92
Léon,,
American History X,83,96
V for Vendetta,,
Goodfellas,96,97
Pirates of the Caribbean: The Curse of the Black Pearl,79,86
Kill Bill: Vol. 1,85,81
WALL·E,95,90
Terminator 2: Judgment Day,93,94
The Usual Suspects,89,96
Braveheart,78,85
Joker,68,88
Finding Nemo,99,86
The Lion King,52,88
The Truman Show,95,89
Iron Man,94,91
Up,98,90
Reservoir Dogs,92,94
Eternal Sunshine of the Spotless Mind,92,94
The Sixth Sense,86,90
Deadpool,85,90
Toy Story,100,92
Mad Max: Fury Road,97,86
Jurassic Park,91,91
Gone Girl,87,87
Good Will Hunting,98,94
Star Wars: Episode VII - The Force Awakens,93,86
No Country for Old Men,93,86
A Beautiful Mind,74,93
The Hunger Games,84,81
Avengers: Infinity War,85,91
Catch Me If You Can,96,89
Avengers: Endgame,94,90
"Monsters, Inc.",96,90
Slumdog Millionaire,91,90
Snatch,73,93
Gravity,95,80
Requiem for a Dream,79,93
Harry Potter and the Deathly Hallows: Part 2,96,89
The Intouchables,75,93
The Martian,91,91
Toy Story 3,98,90
Iron Man Three,79,78
De Hobbit: Een onverwachte reis,,50
Thor,77,76
Avengers: Age of Ultron,75,83
Captain America: The First Avenger,80,74
Donnie Darko,86,80
Captain America: The Winter Soldier,90,92
Sin City,77,78
The Big Lebowski,83,93
The Pianist,95,96
Star Wars: Episode I - The Phantom Menace,52,59
300,61,89
Iron Man 2,72,71
Whiplash,94,94
Gran Torino,81,90
The Hangover,78,84
Star Wars: Episode III - Revenge of the Sith,80,66
The Grand Budapest Hotel,92,86
The Revenant,78,84
Amélie,,
Black Swan,85,84
Man of Steel,56,75
Spider-Man,90,67
I Am Legend,68,68
The Imitation Game,89,91
Kill Bill: Vol. 2,84,89
How to Train Your Dragon,99,91
Captain America: Civil War,90,89
Silver Linings Playbook,92,86
Harry Potter en de steen der wijzen,81,82
X-Men: Days of Future Past,90,91
The Incredibles,97,75
Pirates of the Caribbean: Dead Man's Chest,53,72
Logan,93,90
X-Men: First Class,86,87
Star Wars: Episode II - Attack of the Clones,65,56
Ratatouille,96,87
12 Years a Slave,95,90
The King's Speech,94,92
District 9,90,82
Million Dollar Baby,90,90
Trainspotting,91,93
Skyfall,92,86
Black Panther,96,79
The Social Network,96,86
Batman v Superman: Dawn of Justice,28,63
Het leven is mooi,,
Binnenstebuiten,,
Fargo,94,93
Shrek,88,90
The Hunger Games: Catching Fire,90,89
Prisoners,81,87
The Bourne Ultimatum,92,91
Suicide Squad,26,59
Doctor Strange,89,85
World War Z,66,72
De Hobbit: de Woestenij van Smaug,74,85
Edge of Tomorrow,91,90
Thor: The Dark World,66,75
Arrival,94,82
Now You See Me,50,70
Pirates of the Caribbean: At World's End,44,72
Transformers,58,85
Thor: Ragnarok,93,87
Kingsman: The Secret Service,74,84
The Curious Case of Benjamin Button,71,80
Sherlock Holmes,69,77
Casino Royale,94,89
Life of Pi,86,84
Birdman or (The Unexpected Virtue of Ignorance),91,77
Groundhog Day,96,88
Jurassic World,70,78
Heat,87,94
12 Monkeys,89,88
Star Trek: The Future Begins,94,91
Into the Wild,83,89
Argo,96,90
Ant-Man,82,86
Guardians of the Galaxy Vol. 2,85,87
Frozen,90,85
Drive,92,79
Wonder Woman,93,83
X-Men,82,83
Gisaengchung,,
Ted,69,73
Prometheus,73,68
Star Wars: Episode VIII - The Last Jedi,90,42
Taken,59,85
Once Upon a Time... in Hollywood,85,70
Dunkirk,92,81
The Amazing Spider-Man 3D,72,77
Star Wars: Rogue One,84,86
Harry Potter en de geheime kamer,82,80
Harry Potter en de gevangene van Azkaban,90,86
Harry Potter en de vuurbeker,88,74
Spider-Man 2,,
Her,94,82
John Wick,86,81
"Lock, Stock and Two Smoking Barrels",75,93
Looper,93,82
L.A. Confidential,99,94
Toy Story 2,100,86
Independence Day,67,75
Limitless,69,74
Cast Away,89,84
Kick-Ass,76,81
The Notebook,53,85
Superbad,88,87
Zombieland,89,86
The Hateful Eight,74,76
There Will Be Blood,91,86
Ocean's Eleven,83,80
Spider-Man: Homecoming,92,87
The Matrix Reloaded,73,72
Men in Black,92,79
Harry Potter and the Order of the Phoenix,77,81
Shaun of the Dead,92,93
X-Men 2,85,85
21 Jump Street,84,82
La La Land,91,81
The Bourne Identity,83,93
Minority Report,90,80
Watchmen,65,71
Despicable Me,81,82
Spider-Man 3,63,51
Blood Diamond,63,90
"I, Robot",56,70
Get Out,98,86
Rise of the Planet of the Apes,81,77
American Psycho,70,85
Juno,94,88
Home Alone,67,80
Troy,54,73
Oblivion,53,61
Source Code,92,82
Deadpool 2,84,85
X-Men: The Last Stand,57,61
Pirates of the Caribbean: On Stranger Tides,33,54
The Great Gatsby,48,67
Harry Potter and the Deathly Hallows: Part 1,77,85
Harry Potter en de halfbloed prins,84,78
De Hobbit: De Slag van Vijf Legers,59,74
Ex Machina,,
"Crazy, Stupid, Love.",79,78
(500) Days of Summer,85,84
Zodiac,89,77
Nightcrawler,95,85
Casino,80,93
X-Men Origins: Wolverine,37,58
Knives Out,97,92
Pacific Rim,72,77
Blade Runner 2049,88,81
Children of Men,92,85
Hot Fuzz,91,89
The Hangover Part II,33,52
The Perks of Being a Wallflower,85,89
Star Trek: Into Darkness,84,89
It,86,84
Mission: Impossible - Ghost Protocol,93,76
Bohemian Rhapsody,61,85
Captain Marvel,79,45
The Butterfly Effect,33,81
Mr. & Mrs. Smith,60,58
The Pursuit of Happyness,67,87
American Hustle,92,74
The Matrix Revolutions,35,60
Lucy,67,47
Edward Scissorhands,90,91
Hancock,41,59
Dallas Buyers Club,93,91
The Conjuring,86,83
Ice Age,77,82
Baby Driver,92,86
American Sniper,72,84
Little Miss Sunshine,91,91
Hacksaw Ridge,84,91
1917,89,88
"Three Billboards Outside Ebbing, Missouri",90,87
Love Actually,64,72
Warrior,83,92
Zootropolis,98,92
The Incredible Hulk,67,70
The Bourne Supremacy,82,90
The Fifth Element,71,86
Rush,89,88
The Wolverine,71,69
Charlie and the Chocolate Factory,83,51
The Help,76,89
Split,77,79
Fury,76,84
Twilight,49,73
Divergent,41,69
Indiana Jones and the Kingdom of the Crystal Skull,78,53
The Girl with the Dragon Tattoo,87,86
Spotlight,97,93
Captain Phillips,93,89
The Hurt Locker,97,84
Horrible Bosses,69,70
Sherlock Holmes: A Game of Shadows,59,77
Kung Fu Panda,87,83
Shrek 2,89,69
Mystic River,88,89
Crash,74,88
The Maze Runner,,
Elysium,65,58
The Amazing Spider-Man 2,51,64
Belle en het Beest,,
Lost in Translation,95,85
War of the Worlds,75,42
The Day After Tomorrow,45,50
Big Fish,75,89
The Hunger Games: Mockingjay - Part 1,68,71
Big Hero 6,89,91
Fantastic Beasts and Where to Find Them,74,79
Dawn of the Planet of the Apes,90,88
A Quiet Place,96,83
The Terminal,61,74
Gangs of New York,73,81
Rapunzel,,89
"Back to the future, deel 3",,
The Theory of Everything,80,84
Quantum of Solace,64,58
We're the Millers,48,72
The Da Vinci Code,26,57
The Last Samurai,66,83
The 40 Year Old Virgin,85,84
Armageddon,38,73
X-Men: Apocalypse,47,65
American Gangster,81,84
Training Day,73,89
King Kong,,64
The Mummy,,
In Bruges,84,87
Coco,97,94
Die Hard 4.0,82,86
Midnight in Paris,93,83
Mission: Impossible,64,71
Justice League,40,71
Unbreakable,70,77
Green Book,78,91
Spectre,63,61
Alice in Wonderland,51,55
Transformers: Dark of the Moon,35,55
This Is the End,83,71
Transformers: Revenge of the Fallen,20,57
Spider-Man: Een nieuw universum,97,93
Wreck-It Ralph,87,86
Scott Pilgrim vs. the World,82,84
The Lost World: Jurassic Park,53,51
Saw,49,84
